FORMULA,Process Method,Measurement Method,Measuremet T (?°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Co1Cu1Fe1Mn1Ni1,CAST,T,25,,8.4,FCC,208,,478,,189,,,10.1016/j.matdes.2012.08.019,
Co1Cu1Fe1Mn1Ni1Sn0.03,CAST,T,25,,8.4,FCC,192,,465,,187,,18,10.1016/j.matdes.2012.08.019,
Co1Cu1Fe1Mn1Ni1Sn0.05,CAST,T,25,,8.4,FCC+Sec.,205,,475,,,,12,10.1016/j.matdes.2012.08.019,
Co1Cu1Fe1Mn1Ni1Sn0.08,CAST,T,25,,8.3,FCC+Sec.,219,,425,,,,7,10.1016/j.matdes.2012.08.019,
Co1Cu1Fe1Mn1Ni1Sn0.1,CAST,T,25,,8.3,FCC+Sec.,253,,470,,,,6,10.1016/j.matdes.2012.08.019,
Co1Cu1Fe1Mn1Ni1Sn0.2,CAST,T,25,,8.3,FCC+Sec.,319,,368,,,,2,10.1016/j.matdes.2012.08.019,
Co1Cu1Fe1Nb0.5Ni1,WROUGHT,,,,8.6,FCC+Laves,,,,,,,,10.1557/jmr.2019.36,
Co1Cu1Fe1Ni1,CAST,T,25,,8.6,FCC,,,480,,187,,15,10.1016/j.msea.2012.03.080,
Co1Cu1Fe1Ni1Sn0.02,CAST,T,25,,8.6,FCC,,,548,,185,,17,10.1016/j.msea.2012.03.080,
Co1Cu1Fe1Ni1Sn0.04,CAST,T,25,,8.6,FCC+Sec.,,,594,,,,18,10.1016/j.msea.2012.03.080,
Co1Cu1Fe1Ni1Sn0.05,CAST,T,25,,8.6,FCC+Sec.,,,615,,,,20,10.1016/j.msea.2012.03.080,
Co1Cu1Fe1Ni1Sn0.07,CAST,T,25,,8.6,FCC+Sec.,,,632,,,,19,10.1016/j.msea.2012.03.080,
Co1Cu1Fe1Ni1Sn0.1,CAST,T,25,,8.6,FCC+Sec.,,,602,,,,5,10.1016/j.msea.2012.03.080,
Co1Cu1Fe1Ni1Sn0.2,CAST,T,25,,8.5,FCC+Sec.,,,261,,,,2,10.1016/j.msea.2012.03.080,
Co1Cu1Fe1Ni1Sn0.5,CAST,,25,,8.3,FCC+Sec.,,,,,,,,10.1016/j.msea.2012.03.080,
Co1Cu1Fe1Ni1Ti1V1Zr1,CAST,,25,,7.1,,630,,,,,,,10.1002/adem.200300567,
Co1Fe1Mn1Ni1,WROUGHT,T,25,,8.2,FCC,,170,550,,204,41,,10.1016/j.actamat.2014.08.026,
Co1Fe1Mo0.2Ni1V1,CAST,,25,,8,FCC+Sec.,267,,,,,,,10.1016/j.jallcom.2015.07.185,
Co1Fe1Mo0.4Ni1V1,CAST,,25,,8.1,FCC+Sec.,402,,,,,,,10.1016/j.jallcom.2015.07.185,
Co1Fe1Mo0.6Ni1V1,CAST,,25,,8.2,FCC+Sec.,557,,,,,,,10.1016/j.jallcom.2015.07.185,
Co1Fe1Mo0.8Ni1V1,CAST,,25,,8.3,FCC+Sec.,606,,,,,,,10.1016/j.jallcom.2015.07.185,
Co1Fe1Mo1Ni1Ti1V1Zr1,CAST,,25,,7.3,,790,,,,,,,10.1002/adem.200300567,
Co1Fe1Mo1Ni1V1,CAST,,25,,8.4,FCC+Sec.,625,,,,,,,10.1016/j.jallcom.2015.07.185,
Co1Fe1Ni1,,,,,8.5,,,,,174,207,,,10.1016/j.msea.2017.04.003,
Co1Fe1Ni1,CAST,C,25,,8.5,FCC,125,204,,,207,,,10.1016/j.jmmm.2014.07.023,
Co1Fe1Ni1,CAST,C,25,,8.5,FCC,125,209,,,207,31,,10.1016/j.jmmm.2014.07.023,
Co1Fe1Ni1,WROUGHT,T,25,,8.5,FCC,,,,,,,,10.1016/j.intermet.2019.106477,
Co1Fe1Ni1,WROUGHT,T,25,,8.5,FCC,,276,540,,207,15,,10.1016/j.intermet.2019.106477,
Co1Fe1Ni1,WROUGHT,T,25,,8.5,FCC,,217,498,,207,51,,10.1016/j.intermet.2019.106477,
Co1Fe1Ni1,WROUGHT,T,25,,8.5,FCC,,201,430,,207,47,,10.1016/j.intermet.2019.106477,
Co1Fe1Ni1,WROUGHT,T,25,,8.5,FCC,,,,161,207,44.5,,10.1016/j.actamat.2019.04.017,
Co1Fe1Ni1,WROUGHT,T,25,,8.5,FCC,,211,513,,207,,,10.1016/j.actamat.2014.08.026,
Co1Fe1Ni1Si0.25,CAST,C,25,,7.7,FCC,149,196,,,186,,,10.1016/j.jmmm.2014.07.023,
Co1Fe1Ni1Si0.5,CAST,C,25,,7.1,FCC+Sec.,287,476,,,,,,10.1016/j.jmmm.2014.07.023,
Co1Fe1Ni1Si0.75,CAST,C,25,,6.6,FCC+Sec.,570,1301,,,,,,10.1016/j.jmmm.2014.07.023,
Co1Fe1Ni1V1,CAST,,25,,7.8,FCC,238,,,,184,,,10.1016/j.jallcom.2015.07.185,
Co1Mn1Ni1,WROUGHT,T,25,,8.4,FCC,,333,569,190,202,38,,10.1016/j.actamat.2019.04.017,
Co1Mn1Ni1,WROUGHT,T,25,,8.4,FCC,,601,608,190,202,40,,10.1016/j.actamat.2019.04.017,
Co1Mn1Ni1,WROUGHT,T,25,,8.4,FCC,,321,566,190,202,24,,10.1016/j.actamat.2019.04.017,
Co1Mn1Ni1,WROUGHT,T,25,,8.4,FCC,,267,506,190,202,50.5,,10.1016/j.actamat.2019.04.017,
Co1Mn1Ni1,WROUGHT,T,25,,8.4,FCC,,231,653,,202,62.5,,10.1016/j.actamat.2014.08.026,
Co1Ni1V1,WROUGHT,T,25,,7.8,,,991,1359,,,38,,10.1002/adma.201807142,
Co1Ni1V1,WROUGHT,T,25,,7.8,,,767,1224,,,46,,10.1002/adma.201807142,
Co1Ni1V1,WROUGHT,T,25,,7.8,,,602,1123,,,51,,10.1002/adma.201807142,
Co1Ni1V1,WROUGHT,T,25,,7.8,,,517,1049,,,55,,10.1002/adma.201807142,
Co1Ni1V1,WROUGHT,T,25,,7.8,,,461,886,,,58,,10.1002/adma.201807142,
Co1Cr1Cu0.5Fe1Ni1,,,25,8.3,8.262106793,FCC,172,,,,214.7852899,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1,,,25,8.2,8.196451779,FCC,134,,,,207.5263345,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,,C,25,7.3,7.25836459,FCC+BCC+Sec.,,1312,1312,,178.7539344,1,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1Ni1,,C,25,8.3,8.331325886,FCC,132,230,,206,206.0965696,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1Ni1,,C,25,8.3,8.331325886,FCC,286,230,888,206,206.0965696,51,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1Ni1,,,25,8.3,8.331325886,FCC,286,,,,206.0965696,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1Ni1,ANNEAL,C,,,8.331325886,FCC+FCC+Sec.,,,,,206.0965696,50.8,,,Paper_Collection_5_element
Co1Cr1Cu1Fe1Ni1,ANNEAL,C,,,8.331325886,FCC+BCC+B2+Sec.,,,,,206.0965696,,,,Paper_Collection_5_element
Co1Cr1Cu1Fe1Ni1,ANNEAL,C,,,8.331325886,FCC+Sec.,,,,,206.0965696,,,,Paper_Collection_5_element
Co1Cr1Cu1Fe1Ni1,,C,25,8.335,8.331325886,FCC,132,230,,55.6,206.0965696,,,,Prof.Yeh-3dtransitional
Co1Cr1Cu1Fe1Ni1,,C,25,8.335,8.331325886,FCC,286,230,,55.6,206.0965696,,,,Prof.Yeh-3dtransitional
Co1Cr1Cu1Fe1Ni1Ti1,,C,25,7.4,7.431738253,FCC,,1272,1272,191,184.9488198,2,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1Ni1Ti0.5,,C,25,7.8,7.821724444,FCC,,700,1650,198,194.1167208,29,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1Ni1Ti0.5,,C,25,7.8,7.821724444,FCC,,700,1650,198,194.1167208,22,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1Ni1Ti0.5,,C,25,7.825,7.821724444,FCC,,700,,93.1,194.1167208,21.6,,,Prof.Yeh-3dtransitional
Co1Cr1Cu1Fe1Ni1Ti0.5,,C,25,7.825,7.821724444,FCC,,700,,92.5,194.1167208,29,,,Prof.Yeh-3dtransitional
Co1Cr1Cu1Fe1Ni1Ti0.8,,C,25,7.6,7.576207004,FCC+Sec.,,1042,1848,,188.3450303,3,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Fe1Ni1Ti0.8,,C,25,7.575,7.576207004,FCC+Sec.,,1040,,128,188.3450303,2.11,,,Prof.Yeh-3dtransitional
Co1Cr1Cu1Fe1Ni1Ti1.0,,C,25,7.435,7.431738253,FCC+Sec.,,1270,,76.5,184.9488198,1.6,,,Prof.Yeh-3dtransitional
Co1Cr1Cu1Fe1Ni1Ti1V1Zr1,,,25,7.1,7.079151692,Other,680,,,,153.7173046,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Cu1Ni1,ANNEAL,C,,,8.448141123,FCC+FCC+Sec.,,,,,204.8369565,,,,Paper_Collection_4_element
Co1Cr1Fe1Mn1Ni1,,T,25,8,8.027647867,FCC,176,208,,,219.8823361,62,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Mn1Ni1,,C,25,8,8.027647867,FCC,144,230,,,219.8823361,75,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Mn1Ni1,ANNEAL,,,,,,,,,,,,,,Paper_Collection_5_element
Co1Cr1Fe1Mn1Ni1,ANNEAL,,,,,,,,,,,,,,Paper_Collection_5_element
Co1Cr1Fe1Mn1Ni1,ANNEAL,,,,,,,,,,,,,,Paper_Collection_5_element
Co1Cr1Fe1Mn1Ni1,,C,25,8.025,8.027647867,FCC,174.5,207.5,,,219.8823361,,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Mn1Ni1,,C,25,8.025,8.027647867,FCC,144,230,,,219.8823361,,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Mn1Ni1,ANNEAL,,,,,,,,,,,,,,Paper_Collection_5_element
Co1Cr1Fe1Mn1Ni1,ANNEAL,,,,,,,,,,,,,,Paper_Collection_5_element
Co1Cr1Fe1Mn1Ni1V0.25,,C,25,7.9,7.920592137,FCC,151,200,,,214.7184545,75,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Mn1Ni1V0.25,,C,25,7.925,7.920592137,FCC,151,200,,,214.7184545,75,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Mn1Ni1V0.5,,C,25,7.8,7.824929394,FCC,186,620,,,210.1041187,75,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Mn1Ni1V0.5,,C,25,7.825,7.824929394,FCC,186,620,,,210.1041187,75,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Mn1Ni1V0.75,,C,25,7.7,7.738932839,FCC+Sec.,342,740,1325,,205.9560359,8,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Mn1Ni1V0.75,,C,25,7.735,7.738932839,FCC+Sec.,342,740,,,205.9560359,7.8,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Mn1Ni1V1.0,,C,25,7.7,7.661207861,FCC+Sec.,650,1660,1845,,202.2069364,1,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Mn1Ni1V1.0,,C,25,7.665,7.661207861,FCC+Sec.,650,1660,,,202.2069364,0.5,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Mo0.5Ni1,,,25,8.5,8.473433375,FCC+Sec.,210,,,,240.7251317,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Mo1Ni1Ti1V1Zr1,,,25,7.3,7.312556405,Other,850,,,,179.6364026,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Nb0.103Ni1,,T,25,8.2,8.19073144,FCC+Sec.,,318,622,,221.0213678,19,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Nb0.103Ni1,,C,25,8.195,8.19073144,FCC+Sec.,,317.5,,,221.0213678,19.2,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Nb0.155Ni1,,T,25,8.2,8.198197248,FCC+Sec.,,322,744,,218.7882301,23,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Nb0.155Ni1,,C,25,8.195,8.198197248,FCC+Sec.,,321.5,,,218.7882301,23.3,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Nb0.206Ni1,,T,25,8.2,8.205245493,FCC+Sec.,,403,807,,216.6799917,9,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Nb0.206Ni1,,C,25,8.205,8.205245493,FCC+Sec.,,402.5,,,216.6799917,8.6,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Nb0.309Ni1,,T,25,8.2,8.218712527,FCC+Sec.,,479,879,,212.6517947,4,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Nb0.309Ni1,,C,25,8.215,8.218712527,FCC+Sec.,,478.5,,,212.6517947,3.5,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Nb0.412Ni1,,T,25,8.2,8.231241895,FCC+Sec.,,638,1004,,208.9040683,1,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Nb0.412Ni1,,C,25,8.235,8.231241895,FCC+Sec.,,637.5,,,208.9040683,1.3,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Ni1,,T,25,8.2,8.175043328,FCC,,148,413,,225.7139231,48,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Ni1,,,25,8.2,8.175043328,FCC,116,,,,225.7139231,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Ni1,,,25,8.2,8.175043328,FCC,113,,,,225.7139231,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Ni1,,T,25,8.2,8.175043328,FCC,,274,708,,225.7139231,39,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,Other,453,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,Other,445,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,Other,449,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,Other,290,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,Other,207,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,Other,187,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,Other,147,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,Other,137,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,Other,137,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,ANNEAL,C,,,8.175043328,FCC+Sec.,,,,,225.7139231,,,,Paper_Collection_4_element
Co1Cr1Fe1Ni1,,C,25,8.175,8.175043328,FCC,,147.5,,,225.7139231,48,,,Prof.Yeh-3dtransitional
Co1Cr1Fe1Ni1Ti1,,C,25,7.2,7.151614207,FCC,,,2020,203,195.170853,9,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Mn1Ni1,,T,25,8.1,8.066118534,FCC,,282,694,,222.1443966,44,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cr1Mo1Nb1,CAST,C,25,8.74,8.788498241,BCC+Laves,,1420,,,223.8161829,5.77,0.1,,Prof.Yeh-RHEA
Co1Cr1Mo1Nb1Ti1,CAST,C,25,7.895,7.768551397,BCC+Laves,,1100,,,198.1812291,3.88,0.1,,Prof.Yeh-RHEA
Co1Cr1Mo1Nb1Ti0.2,CAST,C,25,8.535,8.536593493,BCC+Laves,,1910,,,217.4849053,5.07,0.1,,Prof.Yeh-RHEA
Co1Cr1Mo1Nb1Ti0.4,CAST,C,25,8.37,8.31263293,BCC,,1770,,,211.8559662,4.62,0.1,,Prof.Yeh-RHEA
Co1Cr1Mo1Nb1Ti0.5,CAST,C,25,8.26,8.209717854,BCC+Laves,,1610,,,209.2693381,4.92,0.1,,Prof.Yeh-RHEA
Co1Cr1Ni1,,T,25,8.3,8.278316008,FCC,,300,860,,230.8052709,60,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Mn1Ni1,,T,25,8.4,8.387119793,FCC,208,,478,,189.2450445,14,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Mn1Ni1Sn0.03,,T,25,8.4,8.371893016,FCC,192,,465,,187.3172383,18,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Mn1Ni1Sn0.05,,T,25,8.4,8.361973922,FCC+Sec.,205,,475,,186.0614184,12,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Mn1Ni1Sn0.08,,T,25,8.3,8.347430856,FCC+Sec.,219,,425,,184.2201743,7,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Mn1Ni1Sn0.10,,T,25,8.3,8.337952194,FCC+Sec.,253,,470,,183.0201158,6,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Mn1Ni1Sn0.20,,T,25,8.3,8.29299254,FCC+Sec.,319,,368,,177.3279395,2,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Ni1,,T,25,8.6,8.631376366,FCC,,,480,,186.9016752,15,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Ni1,ANNEAL,C,,,8.631376366,FCC+FCC,,,,,186.9016752,,,,Paper_Collection_4_element
Co1Cu1Fe1Ni1Sn0.02,,T,25,8.6,8.61561643,FCC,,,548,,185.2964464,17,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Ni1Sn0.04,,T,25,8.6,8.600221795,FCC+Sec.,,,594,,183.7284253,18,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Ni1Sn0.05,,T,25,8.6,8.592657518,FCC+Sec.,,,615,,182.9579657,20,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Ni1Sn0.07,,T,25,8.6,8.577787471,FCC+Sec.,,,632,,181.4433765,19,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Ni1Sn0.1,,T,25,8.6,8.556106948,FCC+Sec.,,,602,,179.2351061,5,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Ni1Sn0.2,,T,25,8.5,8.488820724,FCC+Sec.,,,261,,172.3816655,2,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Ni1Sn0.5,,,25,8.3,8.323903806,FCC+Sec.,,,,,155.5840472,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Cu1Fe1Ni1Ti1V1Zr1,,,25,7.1,7.065686549,Other,630,,,,138.730642,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mn1Ni1,,T,25,8.2,8.245835379,FCC,,170,550,,204.4519856,41,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo0.2Ni1V1,,,25,8,7.974893439,FCC+Sec.,267,,,,192.8299614,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo0.4Ni1V1,,,25,8.1,8.105270958,FCC+Sec.,402,,,,200.7090247,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo0.6Ni1V1,,,25,8.2,8.221385941,FCC+Sec.,557,,,,207.7261648,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo0.8Ni1V1,,,25,8.3,8.325457373,FCC+Sec.,606,,,,214.0154807,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo1Ni1.2V1,,,25,8.4,8.435576483,FCC+Sec.,602,,,,219.0256046,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo1Ni1.4V1,,,25,8.5,8.450829647,FCC+Sec.,538,,,,218.4092808,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo1Ni1.6V1,,,25,8.5,8.465125583,FCC+Sec.,520,,,,217.8316351,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo1Ni1.8V1,,,25,8.5,8.47855166,FCC+Sec.,510,,,,217.2891372,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo1Ni2V1,,,25,8.5,8.491184924,FCC+Sec.,382,,,,216.7786738,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo1Ni1Ti1V1Zr1,,,25,7.3,7.326488519,Other,790,,,,168.1805135,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Mo1Ni1V1,,,25,8.4,8.419266623,FCC+Sec.,625,,,,219.6846255,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Ni1,,C,25,8.5,8.524402703,FCC,125,204,,,206.7823096,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Ni1,,C,25,8.5,8.524402703,FCC,125,209,,,206.7823096,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Ni1,,T,25,8.5,8.524402703,FCC,,211,513,,206.7823096,31,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Ni1,,C,25,8.525,8.524402703,FCC,124.5,208.5,,,206.7823096,,,,Prof.Yeh-3dtransitional
Co1Fe1Ni1,,C,25,8.525,8.524402703,FCC,124.5,203.5,,,206.7823096,,,,Prof.Yeh-3dtransitional
Co1Fe1Ni1Si0.25,,C,25,7.7,7.724929168,FCC,149,196,,,186.1641344,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Ni1Si0.25,,C,25,7.725,7.724929168,FCC,149,195.5,,,186.1641344,,,,Prof.Yeh-3dtransitional
Co1Fe1Ni1Si0.5,,C,25,7.1,7.108201099,FCC+Sec.,287,476,,,170.2589083,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Ni1Si0.5,,C,25,7.105,7.108201099,FCC+Sec.,186.5,951,,,170.2589083,,,,Prof.Yeh-3dtransitional
Co1Fe1Ni1Si0.75,,C,25,6.6,6.617986732,FCC+Sec.,570,1301,,,157.6164314,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Fe1Ni1Si0.75,,C,25,6.615,6.617986732,FCC+Sec.,569.5,1300,,,157.6164314,,,,Prof.Yeh-3dtransitional
Co1Fe1Ni1V1,,,25,7.8,7.82745361,FCC,238,,,,183.9197768,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1Mn1Ni1,,T,25,8.4,8.372859777,FCC,,231,653,,202.1994178,38,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Cr0.05Mo0.15Ti0.35V0.30Zr0.15,CAST,C,25,6.23,6.214170837,BCC+Laves,,1347,,,144.5015607,23.7,15.9,,Prof.Yeh-RHEA
Cr0.065Nb0.05Ti0.35V0.185Zr0.35,CAST,C,25,5.853,5.914251743,BCC+Laves,,1066.5,,,102.9053091,14.1,8.05,,Prof.Yeh-RHEA
Cr0.25Mo0.25Nb1Ti1V1Zr1,CAST,C,25,6.64,6.670271671,BCC+Laves,,1484,,,118.1236904,17,8.5,,Prof.Yeh-RHEA
Cr0.25Si0.25Nb1Ti1V1Zr1,CAST,C,25,6.2,6.22956418,BCC+Laves+Sec.,,1467,,,103.5461368,11,2.5,,Prof.Yeh-RHEA
Cr0.286Mo0.476Nb1Ta0.024Ti0.31V0.286,POWDER,C,25,8.02,8,BCC+Sec.,741,2680,,,,,,10.1016/j.ijrmhm.2019.02.009,
Cr0.5Fe0.5Ni1Ti0.15,WROUGHT,T,25,,7.8,FCC,335,672,982,,212,37,,10.1016/j.msea.2019.138181,
Cr0.5Fe0.5Ni1Ti0.15,WROUGHT,,,,7.8,FCC,204,,,,212,,,10.1016/j.msea.2019.138181,
Cr0.5Fe1Mn0.625Ni0.375,CAST,C,25,,7.8,FCC+BCC,,219,,,,,,10.1016/j.jallcom.2018.08.093,
